,Unnamed: 0,Timestamp,Sensor Value
0,0,12/31/2020 00:00:00,0.0
1,1,12/31/2020 00:30:00,0.0
2,2,12/31/2020 01:00:00,0.0
3,3,12/31/2020 01:30:00,0.0
4,4,12/31/2020 02:00:00,0.01515
5,5,12/31/2020 02:30:00,0.1276
6,6,12/31/2020 03:00:00,0.0144
7,7,12/31/2020 03:30:00,0.602
8,8,12/31/2020 04:00:00,0.3576
9,9,12/31/2020 04:30:00,0.0
10,10,12/31/2020 05:00:00,0.0
11,11,12/31/2020 05:30:00,0.0
12,12,12/31/2020 06:00:00,0.0
13,13,12/31/2020 06:30:00,0.03984
14,14,12/31/2020 07:00:00,0.0
15,15,12/31/2020 07:30:00,0.14
16,16,12/31/2020 08:00:00,0.25
17,17,12/31/2020 08:30:00,0.25
18,18,12/31/2020 09:00:00,0.13419
19,19,12/31/2020 09:30:00,0.11891
20,20,12/31/2020 10:00:00,0.07092
21,21,12/31/2020 10:30:00,0.04245
22,22,12/31/2020 11:00:00,0.02574
23,23,12/31/2020 11:30:00,0.01561
24,24,12/31/2020 12:00:00,0.01561
25,25,12/31/2020 12:30:00,0.01561
26,26,12/31/2020 13:00:00,0.0
27,27,12/31/2020 13:30:00,0.0
28,28,12/31/2020 14:00:00,0.0
29,29,12/31/2020 14:30:00,0.0
30,30,12/31/2020 15:00:00,0.0
31,31,12/31/2020 15:30:00,0.0
32,32,12/31/2020 16:00:00,0.0
33,33,12/31/2020 16:30:00,0.12
34,34,12/31/2020 17:00:00,0.12
35,35,12/31/2020 17:30:00,0.33
36,36,12/31/2020 18:00:00,0.33
37,37,12/31/2020 18:30:00,0.20153
38,38,12/31/2020 19:00:00,0.14606
39,39,12/31/2020 19:30:00,0.0801
40,40,12/31/2020 20:00:00,0.04841
41,41,12/31/2020 20:30:00,0.02202
42,42,12/31/2020 21:00:00,0.24183
43,43,12/31/2020 21:30:00,0.82952
44,44,12/31/2020 22:00:00,0.0
45,45,12/31/2020 22:30:00,0.0
46,46,12/31/2020 23:00:00,0.0
47,47,12/31/2020 23:30:00,0.0
48,48,01/01/2021 00:00:00,0.0
49,49,01/01/2021 00:30:00,0.0
50,50,01/01/2021 01:00:00,0.0
51,51,01/01/2021 01:30:00,0.0
52,52,01/01/2021 02:00:00,0.0
53,53,01/01/2021 02:30:00,0.0
54,54,01/01/2021 03:00:00,0.0
55,55,01/01/2021 03:30:00,0.0
56,56,01/01/2021 04:00:00,0.14306
57,57,01/01/2021 04:30:00,0.0
58,58,01/01/2021 05:00:00,0.0
59,59,01/01/2021 05:30:00,0.0
60,60,01/01/2021 06:00:00,0.54704
61,61,01/01/2021 06:30:00,1.20848
62,62,01/01/2021 07:00:00,0.72248
63,63,01/01/2021 07:30:00,1.28
